2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=986,25, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=844,82, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=703,40, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=561,97, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=420,54, ANGLE=0,00°

2021-04-06 22:06:23 INFOS CheckpointObjective : New target: D=279,11, ANGLE=-0,00°

